#{"t_start": 1769448946.986449, "env_id": "CustomHopper-source-v0"}
r,l,t
11.928471,17,0.093542
10.357012,17,0.208362
8.839565,25,0.522387
16.296629,26,0.885686
8.516017,12,1.064268
19.068796,21,1.360015
6.433624,16,1.57105
11.426391,27,1.944571
13.036073,19,2.209114
13.154065,22,2.494234
15.023804,41,3.086718
59.131932,47,3.68345
30.437533,42,4.221582
83.95587,48,4.805886
159.67894,98,5.964671
86.857394,59,6.676921
219.386545,106,7.928192
212.591456,98,9.081737
203.818075,93,10.170704
208.259482,93,11.278201
191.311064,88,12.308546
182.499787,85,13.307243
175.46433,74,14.172274
155.79429,79,15.095502
195.237559,84,16.088025
142.159099,69,16.8995
193.261626,85,17.898334
180.045656,80,18.84255
165.414461,84,19.828636
139.698432,66,20.602172
119.459606,63,21.340507
191.768426,87,22.40399
183.428079,77,23.320853
198.319141,83,24.298961
202.508033,88,25.326899
172.116124,80,26.26387
197.848523,88,27.293303
164.723804,75,28.189555
194.098237,84,29.174015
179.659809,76,30.075101
203.584495,89,31.120883
200.47284,88,32.150389
155.088179,74,33.030189
187.898064,82,33.990804
205.974114,94,35.091323
207.693204,96,36.21373
201.381907,88,37.246156
199.35717,85,38.263264
209.120412,94,39.407239
201.875211,90,40.458492
203.78415,89,41.507054
210.239891,98,42.655727
178.978403,81,43.621735
203.062695,91,44.685589
211.091991,94,45.790625
213.467121,95,46.901592
177.230832,86,47.919978
208.003511,91,48.99322
211.319401,97,50.129608
204.053659,90,51.222423
211.726509,93,52.313125
189.478455,87,53.356517
183.966006,85,54.352426
214.972546,97,55.488533
138.743385,63,56.227851
188.574539,86,57.234901
210.746774,93,58.343288
192.321965,91,59.409593
217.989134,100,60.59211
209.682298,90,61.644113
203.282621,93,62.737975
166.975763,81,63.701307
179.848764,86,64.711457
223.422993,103,65.972366
167.277397,74,66.837886
232.104267,107,68.096126
210.598314,92,69.177537
221.271179,104,70.39122
204.482876,93,71.48566
220.235854,111,72.784239
258.599698,137,74.411704
211.43714,100,75.589057
220.091726,106,76.871547
242.319192,118,78.271879
211.4626,103,79.494273
244.755249,119,80.888185
313.150472,154,82.689446
268.274608,141,84.356969
270.252214,136,85.956603
280.095829,151,87.723926
233.847464,124,89.185444
234.838898,123,90.632383
238.888709,126,92.158562
305.685439,162,94.068063
286.230676,136,95.654966
294.211909,148,97.382585
291.282186,141,99.046257
349.225652,176,101.106994
312.295203,148,102.839915
373.075942,175,104.89944
327.465363,145,106.595694
411.134904,208,109.090931
420.42803,226,111.73793
397.151565,192,114.008268
406.698442,179,116.098919
350.027477,163,118.006022
397.403632,197,120.334242
360.397326,168,122.297794
400.699782,211,124.777849
339.121957,151,126.601455
362.395543,171,128.613798
296.742926,133,130.17652
357.597644,178,132.268129
343.3397,147,134.008146
315.876733,131,135.54009
318.719174,129,137.093791
313.375416,144,138.805805
334.329819,139,140.438952
324.064911,136,142.026505
309.907226,128,143.533551
308.878013,129,145.05073
311.41247,120,146.449666
323.504164,129,147.969764
285.076737,115,149.331633
299.063815,124,150.831162
304.200703,134,152.401687
309.938187,134,153.985451
278.66336,108,155.25727
283.65008,116,156.613171
307.746001,126,158.098722
281.257375,113,159.438501
282.386088,125,160.900124
284.487281,120,162.30974
289.827736,115,163.710372
299.958355,123,165.160659
297.601375,128,166.673868
295.971336,127,168.156774
310.596699,133,169.732824
317.368372,135,171.312977
299.470273,122,172.742998
285.535532,125,174.222612
305.236566,127,175.757569
322.831763,133,177.315127
317.107014,137,178.926671
314.359283,136,180.530355
311.601043,131,182.06194
322.545516,144,183.750502
332.855781,141,185.427989
337.051592,140,187.111911
292.798768,125,188.574893
336.515913,140,190.225877
295.5085,121,191.641823
378.585327,149,193.392642
262.620598,116,194.77677
375.641049,144,196.46294
349.569277,149,198.243134
358.481197,148,199.998248
379.752333,150,201.757824
342.400216,146,203.474499
338.61618,145,205.186882
358.384291,156,207.012961
348.2149,142,208.68087
350.901302,146,210.41729
418.521143,195,212.747575
332.655005,142,214.426563
344.175147,152,216.205769
338.542522,141,217.856659
325.218677,142,219.531195
351.416805,154,221.345105
346.674924,147,223.065714
363.945757,160,224.950408
356.294014,150,226.750194
378.594546,158,228.604259
303.525273,128,230.125446
303.749047,127,231.616173
336.768726,147,233.333812
376.546171,159,235.213749
396.374578,162,237.122284
243.732335,148,238.905801
375.910478,165,240.859835
395.617381,166,242.797805
402.349656,180,244.911215
397.518046,165,246.841035
405.034888,183,249.022445
367.691632,166,250.975663
340.91316,149,252.714624
498.943034,229,255.40375
368.199486,171,257.403897
388.11058,186,259.598462
450.901711,212,262.076676
431.34112,191,264.355755
395.655734,173,266.387482
217.975907,107,267.644487
317.780483,139,269.274065
364.870914,151,271.061314
401.037332,184,273.211122
275.523132,120,274.631461
382.94121,182,276.761791
383.737704,152,278.590174
426.224451,236,281.382626
558.044474,323,285.220511
678.652426,413,290.185283
543.380873,290,293.597846
570.728471,296,297.077843
740.036411,500,302.988772
423.713825,208,305.43456
304.941107,130,306.960729
388.604004,200,309.300484
309.860273,132,310.859715
520.027649,334,314.790541
914.286362,500,320.68391
362.047422,150,322.446835
637.497004,319,326.19139
313.542158,131,327.727993
381.232633,155,329.545888
382.986943,170,331.557894
407.849659,170,333.557887
622.985402,294,337.053474
385.842161,176,339.116065
820.710962,375,343.530443
448.964625,191,345.784366
298.227737,129,347.295868
491.232171,203,349.717994
527.489495,234,352.462492
518.857622,228,355.141775
482.426306,226,357.785247
570.336775,254,360.775199
247.586456,157,362.600275
683.643489,315,366.302128
631.325569,287,369.693262
340.02338,143,371.382586
311.672313,133,372.937204
411.533216,150,374.701981
345.799943,134,376.271845
374.965367,173,378.291888
146.553181,86,379.289867
603.8621,267,382.477621
357.275626,136,384.076082
579.321761,287,387.437506
388.667796,148,389.177135
278.816033,122,390.620857
385.688576,150,392.378578
403.298003,144,394.07068
287.75688,119,395.476413
346.256252,136,397.107928
281.976722,117,398.4812
708.072904,316,402.207833
300.524049,124,403.666467
328.174278,140,405.308076
598.043865,230,408.051916
398.478035,148,409.795906
507.742763,215,412.332424
799.277982,387,416.871482
552.61328,235,419.626429
386.83845,149,421.439257
292.325393,116,422.798993
554.081433,231,425.521805
500.446881,212,428.008952
1016.963449,424,432.998876
334.746519,133,434.547937
354.34921,141,436.261625
366.48811,141,437.91868
506.051859,211,440.39697
425.574464,158,442.263124
315.815599,129,443.845317
325.352123,131,445.370701
864.864942,370,449.758566
522.561166,217,452.319112
338.817084,133,453.883323
943.636715,500,459.747756
564.861467,226,462.422274
318.907412,129,463.97228
470.94179,196,466.2796
276.097378,117,467.654031
936.455968,394,472.280802
517.813804,224,474.901683
568.53522,228,477.635139
441.11953,164,479.556864
729.932266,315,483.264106
338.329532,136,484.871403
352.259037,138,486.504692
475.69028,167,488.460779
407.305942,152,490.243564
314.429438,132,491.805332
790.773743,321,495.591912
349.352396,145,497.306977
688.717825,293,500.730096
323.899344,133,502.310744
753.911363,313,505.969112
309.5588,125,507.451807
627.684414,239,510.294914
1118.094546,500,516.171513
1232.562636,500,522.062756
1033.612432,500,527.95996
1097.532456,500,533.825757
1049.022451,500,539.684433
522.854724,206,542.106652
429.714265,163,544.065084
1047.518163,500,549.922772
302.335225,120,551.330354
1389.333265,500,557.265471
411.468736,150,559.014232
462.758308,165,560.985062
1302.771345,500,566.863203
522.637505,175,568.909515
337.891161,132,570.449132
299.066999,127,571.947698
1142.978896,500,577.820756
296.368532,121,579.276852
1254.628103,500,585.143182
582.733565,204,587.587922
1286.618512,449,592.863566
784.511183,275,596.125459
1104.947895,500,602.002349
654.116829,222,604.718135
1007.482923,332,608.813394
584.045734,210,611.141556
1234.494167,476,616.517864
350.798522,148,618.149967
294.545422,127,619.550968
285.49907,114,620.808902
315.187999,134,622.290467
513.609025,216,624.664848
381.131579,148,626.301284
742.000901,257,629.123428
284.928902,113,630.372428
1052.643762,345,634.188945
1198.769579,500,639.735667
