#{"t_start": 1769601746.36591, "env_id": "CustomHopper-source-v0"}
r,l,t
23.668101,32,0.210302
9.073355,13,0.379665
73.689513,44,1.148879
15.380942,23,1.571882
18.621081,18,1.932847
20.14415,27,2.37112
71.167211,44,3.037454
149.326791,78,4.100802
63.124542,36,4.620861
75.995385,38,5.252482
125.517578,59,6.219215
182.526896,106,7.952996
291.784521,158,10.024564
301.379371,119,11.694636
291.061466,127,13.289443
309.002278,122,14.905373
266.865267,110,16.365172
279.378122,115,17.788883
198.23215,87,18.905962
352.902798,128,20.823457
325.229395,114,22.28649
354.518236,135,24.038702
150.897998,69,25.135282
243.276539,98,26.323229
173.06674,76,27.28034
371.889274,132,29.174156
348.149183,124,30.970703
308.089898,112,32.743631
270.293239,109,34.16322
233.189801,90,36.400694
320.220477,120,38.534894
291.401971,112,40.103069
381.075966,134,42.174864
239.518732,99,43.591305
408.886365,143,45.309409
381.416453,140,47.044143
276.972756,110,48.394267
206.005454,91,49.486113
413.435447,138,51.130468
277.492418,125,52.63103
275.450977,106,53.900174
380.037396,134,55.491417
402.893557,134,57.194716
207.790833,98,58.41627
333.517628,116,59.796644
213.899949,102,61.010989
267.102726,115,62.414848
312.566102,120,63.851164
286.139771,117,65.241713
419.200894,139,66.905241
168.053937,74,67.789229
131.694182,73,68.659094
409.631543,132,70.239874
151.637199,67,71.032221
347.732671,121,72.552408
320.659292,128,74.078599
140.362725,80,75.267464
350.938175,130,77.015712
250.273451,108,78.423938
376.578666,138,80.129217
209.300345,88,81.153854
425.213148,157,83.082089
320.640994,121,84.541489
351.591921,151,86.356994
296.08354,118,87.841642
343.41706,131,89.515671
324.543034,114,90.920127
213.131084,98,92.151631
220.202953,99,93.345975
365.315753,123,94.801338
377.149522,123,96.361584
485.227819,147,98.042575
324.8463,114,99.327173
292.807408,115,100.631658
300.481023,110,101.914216
331.124321,115,103.213913
293.245053,106,104.41333
269.846661,100,105.5402
403.581248,129,106.99678
705.58415,211,109.393593
424.841744,138,110.956191
380.310478,129,112.409915
601.100987,194,114.598509
340.78459,122,115.975941
520.12659,175,118.047467
356.371393,126,119.532216
534.591005,183,121.652465
479.194448,187,123.761269
291.781664,125,125.178138
313.350663,126,126.599933
1015.945342,374,130.827457
396.711222,162,132.646979
824.83581,272,135.714064
573.853982,189,137.981252
366.259227,131,139.453488
613.790817,197,142.182202
357.914585,139,143.892145
712.285738,224,146.414639
380.242888,153,148.138692
396.53228,146,149.789978
537.991873,192,152.036876
329.683534,128,153.493215
408.415892,146,155.162478
343.755618,134,156.673684
353.381234,133,158.166771
677.033157,224,160.702152
402.672144,147,162.3864
301.400288,117,163.726874
322.872202,128,165.181048
956.1998,305,169.209699
659.907657,250,172.103434
377.693993,138,173.714183
591.870132,184,175.803125
889.885899,297,179.186093
515.951064,189,181.375042
701.735562,246,184.14659
433.05176,162,185.988155
384.520318,143,187.602269
246.552451,107,188.810693
1252.026911,500,194.557334
298.066474,118,195.880321
287.287373,117,197.209009
1203.949267,500,202.872052
363.574317,139,204.432757
512.778839,180,206.516628
1040.921064,323,210.25892
1060.210039,309,213.990152
992.41012,368,218.636026
401.256645,163,220.503491
323.019492,132,222.017429
426.010789,163,223.857019
405.689393,156,225.610704
379.315532,151,227.326508
1115.775711,444,232.523971
173.378831,97,233.627404
275.160033,115,234.92697
1151.739848,500,240.700767
604.741496,266,243.956977
1330.756225,500,249.720345
308.44475,121,251.096382
820.227534,270,254.211455
1521.072603,500,260.008065
890.34717,270,263.0844
657.980843,264,266.172853
359.740538,129,267.625302
357.81481,131,269.096849
542.029225,205,271.494296
1463.428385,500,277.145996
1423.904861,500,282.827559
506.919139,170,284.735008
279.884319,113,286.004786
323.153563,123,287.392182
287.558388,113,288.686857
280.656301,134,290.185382
593.327783,192,292.373441
262.059937,108,293.60669
1408.550386,500,299.233055
271.334916,131,300.710285
1217.650165,500,306.413579
1225.831534,402,310.957839
150.107784,72,311.771064
590.680823,221,314.262247
883.280996,310,317.747442
153.45509,79,318.643976
254.024541,128,320.086443
1473.560359,488,325.572643
262.189619,131,327.045236
1233.656587,500,332.705398
333.227155,125,334.117785
1175.526299,368,338.255556
369.396927,130,339.725975
1216.554161,378,344.036227
541.542414,177,346.024365
279.092968,114,347.298064
1033.124927,303,350.721998
530.547323,162,352.539074
281.213151,115,353.831826
1468.521164,438,358.746382
1424.842158,500,364.40608
353.051038,130,365.866631
388.181416,139,367.427348
266.663705,130,368.897898
1175.71363,367,373.013057
1121.801619,410,377.624846
625.89035,214,380.036171
1503.090516,500,385.71651
1092.3644,333,389.495711
284.318071,113,390.766863
1107.023678,343,394.675067
405.635464,149,396.372318
474.669829,171,398.293136
405.57237,151,399.990541
308.7605,117,401.312041
426.518643,166,403.186073
877.725794,258,406.071373
