#{"t_start": 1769601746.36591, "env_id": "CustomHopper-source-v0"}
r,l,t
6.827522,11,0.065054
12.05514,16,0.14277
22.013723,44,0.730222
16.60107,43,1.596514
28.061584,44,2.384414
13.549524,16,2.637362
7.677794,14,2.852163
50.729959,49,3.559481
14.416039,14,3.739795
6.855756,12,3.893507
10.856029,14,4.073771
6.411333,29,4.49774
124.54556,91,5.953484
104.509371,51,6.805266
171.771165,153,8.951279
308.987675,130,10.80218
252.868655,113,12.312817
207.097506,92,13.465613
323.849319,125,15.109694
247.471799,107,16.530795
329.055674,122,18.051708
327.981399,118,19.654765
263.06421,106,21.212024
351.245393,125,22.800851
397.030781,134,24.614609
384.976483,134,26.419355
248.386652,104,27.741089
351.020655,130,29.610686
159.900534,77,30.696299
329.514563,125,32.730644
384.577045,138,34.532034
348.876527,129,37.632813
289.589719,112,39.43663
400.071641,137,41.251118
245.71205,99,42.883072
233.753249,95,44.132073
285.312002,111,45.463143
399.253756,144,47.260788
312.179085,118,48.695863
362.442718,139,50.353174
224.286697,90,51.430302
364.1702,136,53.063459
350.367576,133,54.647223
281.206598,118,56.151996
317.603605,128,57.687694
363.547633,126,59.235066
388.880104,134,60.831522
242.823664,107,62.142482
397.446597,134,63.743861
283.638634,114,65.099359
151.178916,71,65.947376
240.419335,102,67.174723
300.027652,113,68.51762
341.16245,121,69.963224
348.880326,138,71.608539
268.54957,102,72.901092
216.331838,93,74.002789
405.565957,155,76.215121
337.516554,134,77.97889
363.563829,136,79.661913
305.720272,139,81.337249
418.835275,171,83.434956
340.890899,127,84.958626
353.756301,130,86.525967
373.464965,135,88.229346
207.733568,93,89.411645
308.133597,134,91.082767
267.220145,115,92.512423
402.450082,136,94.118797
304.291057,118,95.580936
466.674204,144,97.299647
477.649674,151,99.013376
333.312254,113,100.293832
345.817692,118,101.661437
615.688648,190,103.814661
348.291169,125,105.223544
487.402483,166,107.096654
286.765112,111,108.368579
298.533266,112,109.63442
322.954795,122,111.014105
401.435423,139,112.579642
497.179139,175,114.550869
385.055761,141,116.142599
585.942193,209,118.655178
502.561271,182,120.720843
896.000068,355,124.779593
485.892229,198,127.018351
325.28523,134,128.537055
536.511308,188,130.659501
286.478741,117,131.973278
541.290847,189,134.098456
425.432641,164,135.949883
861.107108,281,139.248798
276.662553,115,140.782811
575.739629,182,143.249777
387.236481,143,144.866505
282.121774,113,146.131028
417.147576,150,147.825405
557.575647,202,150.113012
387.533457,142,151.789338
316.049445,122,153.166694
942.355256,342,157.057763
838.442059,256,159.936319
1036.947579,307,163.451881
282.889954,117,164.779238
563.258196,206,167.629094
505.479092,188,169.821568
568.645693,188,172.012238
330.363252,125,173.474048
320.762438,125,174.892383
342.389344,128,176.370554
400.69122,155,178.126616
550.204649,199,180.384057
441.230405,152,182.141794
442.499405,155,183.890382
262.70841,114,185.17283
512.393955,190,187.333403
506.412892,182,189.381248
445.98476,169,191.287887
227.233025,99,192.412901
545.450626,207,194.848619
712.890849,265,197.843429
340.434671,166,199.740644
1119.690632,345,203.626541
988.117217,336,207.520154
1486.515107,500,213.421527
333.160712,129,215.080851
338.393559,131,216.827663
333.408182,141,218.458796
265.989184,111,219.740842
378.290097,224,222.299773
293.009974,127,223.733815
348.973736,130,225.195055
413.649947,236,227.865942
317.382614,123,229.302774
304.718627,158,231.215719
292.230135,119,232.570389
168.615568,93,233.627401
1406.195156,500,239.379995
289.370977,120,240.758941
1025.65503,423,245.807718
1110.559781,364,250.012524
961.912235,295,253.418981
1475.111738,500,259.199201
298.471152,117,260.547914
261.734866,109,261.79579
1008.828644,308,265.385576
557.299149,185,267.464258
451.993022,166,269.340214
848.348129,254,272.29015
650.810276,217,274.741266
1329.763744,414,279.410439
329.335832,125,280.819585
290.747885,112,282.12649
1591.940963,500,287.750023
1432.805897,500,293.436969
348.096414,126,294.865138
392.799193,143,296.469908
435.545159,154,298.190644
419.400252,147,299.850536
1442.647897,500,305.566624
450.610951,154,307.294541
596.998626,207,309.646552
428.472957,149,311.314237
603.539528,196,313.52789
352.068252,129,314.984993
1013.232234,308,318.452413
1590.464824,500,324.071881
489.849247,180,326.10131
283.500111,114,327.38203
314.718869,128,328.824129
315.203362,121,330.179773
499.587778,247,333.002272
785.388094,294,336.309329
329.12013,124,337.703049
1399.411834,472,343.083789
1514.873132,500,348.712227
1388.941766,439,353.639175
1398.607709,500,359.250469
1519.379698,500,364.914293
1241.841474,500,370.530099
397.538816,142,372.123007
1476.966502,500,377.748129
728.634075,223,380.259839
780.875798,241,383.031289
295.355733,120,384.383421
519.31125,184,386.442979
1443.523958,478,391.89618
677.719342,237,394.572473
1551.479618,483,400.024527
326.889799,124,401.424648
311.921099,123,402.811809
1172.207427,397,407.266159
1053.743027,330,411.111303
436.342,166,412.987378
1025.309937,340,416.8031
1686.729096,480,422.234871
356.082194,133,423.732015
1318.007504,432,428.587388
1008.649072,343,432.43134
331.864125,124,433.828639
337.520948,134,435.333132
492.961623,167,437.251551
1014.576983,336,441.034906
950.740307,345,444.908501
1064.808261,357,448.912069
195.254751,79,449.805982
1419.156518,500,455.528951
854.021314,274,458.679006
684.66463,238,461.418857
1434.984668,418,466.212075
1863.428663,493,471.756037
300.360867,142,473.3582
1445.509499,475,478.702798
568.309376,194,480.899565
1369.530348,425,485.709356
1126.356308,364,489.861857
805.905336,276,492.973374
1571.492999,500,498.876371
814.952466,242,501.601744
1298.319009,389,505.987582
263.435436,108,507.209896
1420.619196,500,512.950546
856.438134,269,516.004391
320.447903,121,517.371863
391.225336,141,518.986659
300.421541,117,520.300684
301.790428,117,521.621558
402.107085,151,523.371739
