#{"t_start": 1769448308.851979, "env_id": "CustomHopper-source-v0"}
r,l,t
7.747498,11,0.040807
12.235013,16,0.068928
21.647713,44,0.64529
8.47309,29,1.021224
10.416983,14,1.217559
33.002152,53,1.936107
9.010328,17,2.159799
208.643782,102,3.55733
151.614446,91,4.783432
196.932026,125,6.302994
47.803118,81,7.347832
195.871934,82,8.340781
233.609362,105,9.626748
184.11705,87,10.682342
212.90298,90,11.777503
198.195671,88,12.84433
153.507615,72,13.713815
217.074027,98,14.950982
204.90882,94,16.088393
241.295645,114,17.46121
194.1855,86,18.501082
256.243113,108,19.894514
248.205364,105,21.173343
173.377152,76,22.128201
250.562232,108,23.465819
328.164976,123,24.962329
349.412567,132,26.551676
26.493877,22,26.821989
140.233347,62,27.563149
210.469476,94,28.748192
301.070219,115,30.144739
259.044921,109,31.462416
320.039846,125,32.976602
358.965209,136,34.698826
381.684285,154,36.565492
145.125276,69,37.406356
271.730813,111,38.752394
304.031736,116,40.176051
245.957418,105,41.445005
251.448406,103,42.685618
373.883336,133,44.349102
163.895839,72,45.22072
285.411979,118,46.653389
267.639735,110,47.998303
370.074346,127,49.543211
184.131586,86,50.582142
178.013862,77,51.52288
191.438339,80,52.492522
185.616914,91,53.591964
376.410373,132,55.205531
379.459429,134,56.870398
355.109692,131,58.453341
280.945341,113,59.83282
595.361848,197,62.217925
492.473134,182,64.427024
308.804474,111,65.768327
413.561206,136,67.418759
374.33148,129,68.987214
325.381576,123,70.491295
338.28444,119,71.968339
298.511273,120,73.414464
359.943025,125,74.939072
439.020842,141,76.63879
402.330262,137,78.290566
591.774323,219,80.953917
656.990177,211,83.514028
289.668036,132,85.116903
377.55178,148,86.940171
310.931297,123,88.423296
283.959127,120,89.889989
397.898656,141,91.587625
396.942793,133,93.189734
529.919588,169,95.240037
323.530174,121,96.709409
443.537194,152,98.540403
307.961677,119,99.986844
251.835347,107,101.272692
489.199982,174,103.417854
339.086259,126,104.960361
428.869205,148,106.74711
309.41093,119,108.183305
485.199621,163,110.163467
649.378622,222,112.853918
253.053112,102,114.086184
330.042612,122,115.578229
475.967879,166,117.581576
363.638741,130,119.198185
449.646017,171,121.353374
385.002841,136,123.113877
464.714863,152,124.958771
550.447536,191,127.282905
426.14812,148,129.071061
277.716867,105,130.353849
267.577168,108,131.702673
332.846406,122,133.178497
289.721241,109,134.498089
511.040406,165,136.515841
402.896265,137,138.191861
306.04514,114,139.574073
256.014594,107,140.88074
382.245599,131,142.462272
442.106993,144,144.20575
332.627294,120,145.711584
546.18634,171,147.775329
260.300274,104,149.048433
315.079191,118,150.481656
582.735765,184,152.754943
353.078662,131,154.347663
290.827571,113,155.728445
433.47242,149,157.529758
252.889848,99,158.726693
284.416417,110,160.117893
300.502515,116,161.530594
318.754488,119,162.961178
455.761231,155,164.838261
672.568113,233,167.662349
236.555782,101,168.885049
345.709966,131,170.486576
