#{"t_start": 1769448308.851604, "env_id": "CustomHopper-source-v0"}
r,l,t
24.053276,32,0.14193
9.151951,14,0.317541
136.177978,79,1.364849
14.766699,19,1.641949
14.095724,21,1.912183
20.06272,21,2.189154
129.290589,99,3.542751
51.994846,29,3.955683
78.682134,41,4.508352
113.418593,65,5.306628
96.517711,48,5.888747
62.013802,47,6.469728
240.803824,112,7.883807
241.807369,121,9.359665
177.908456,86,10.405557
233.074707,101,11.627888
149.752382,71,12.488921
188.270569,90,13.582399
246.332397,104,14.890918
226.567564,98,16.076579
250.877665,109,17.390332
123.467156,61,18.128057
262.592864,108,19.453445
306.909645,124,21.019919
250.605894,114,22.442924
235.152441,111,23.820108
357.247512,133,25.435149
124.241962,64,26.202628
336.613813,123,27.68897
321.08412,126,29.265121
272.329083,111,30.608333
319.461503,124,32.102678
347.440645,140,33.859803
394.123928,155,35.749987
352.590778,135,37.393224
43.145309,27,37.725266
346.810661,123,39.228148
318.403338,140,40.926749
273.383259,113,42.289181
359.587931,144,44.06146
275.221709,111,45.424983
154.082275,70,46.278409
82.825129,38,46.749331
294.539753,114,48.136294
377.654355,130,49.717527
312.865624,120,51.166081
349.638134,130,52.745569
145.29335,65,53.527496
376.292015,135,55.182169
329.923204,127,56.761298
305.066086,124,58.261874
271.444048,111,59.616975
436.691656,167,61.633324
497.345961,179,63.794925
312.892777,117,65.22306
426.335884,140,66.920436
446.85759,148,68.712379
315.195393,115,70.122842
263.223961,111,71.507616
362.5056,126,73.02584
322.019587,115,74.424546
348.494389,126,75.949964
373.746056,142,77.66135
364.564402,133,79.281958
263.482983,115,80.677134
483.182916,166,82.694316
312.892948,112,84.047022
450.337388,149,85.855791
469.710507,159,87.810143
499.295792,181,90.011414
271.0124,115,91.395966
303.189862,122,92.865566
319.088016,121,94.326455
308.268805,115,95.724774
294.167719,113,97.093912
405.212714,137,98.744334
407.75103,139,100.433621
303.477877,120,101.876798
356.759135,127,103.453875
492.654905,169,105.516098
736.968183,231,108.303178
384.853438,152,110.151663
419.834787,146,111.918648
618.577994,220,114.593869
511.461512,159,116.520729
274.073034,111,117.864296
356.082922,137,119.577249
532.911192,176,121.841154
235.927628,112,123.245103
394.768978,145,125.007882
398.338396,139,126.699791
396.004761,141,128.406219
328.369933,123,129.906162
536.703091,175,132.065254
282.405249,109,133.382895
324.174844,117,134.810937
385.477052,134,136.444289
305.040998,115,137.855763
411.623117,141,139.562549
586.666827,199,141.974194
455.831059,148,143.771664
572.406027,189,146.108294
377.079017,132,147.703455
258.048733,107,149.01227
275.307488,105,150.288195
330.510424,115,151.695728
514.979822,168,153.767195
272.258149,108,155.082293
632.96212,206,157.581596
507.846631,161,159.527339
646.283095,236,162.443044
480.303728,166,164.449878
251.706461,104,165.715859
399.051875,146,167.479843
343.451342,144,169.225924
286.698667,117,170.655944
291.607564,113,172.064875
341.17766,136,173.716944
469.782906,163,175.701728
483.614287,191,178.009321
365.293464,137,179.66659
459.075267,155,181.555854
370.703814,150,183.370432
352.58011,129,184.935488
462.811752,154,186.80754
250.748005,142,188.515388
607.495103,194,190.902475
352.391824,129,192.453966
462.724867,165,194.441158
366.023474,139,196.143037
616.552998,197,198.516899
292.156908,114,199.896595
338.024236,128,201.453773
429.574646,148,203.277958
692.446484,224,206.002716
575.200152,202,208.450217
330.683988,125,209.96176
380.139774,135,211.604304
358.981033,136,213.248703
377.659154,135,214.87963
408.311204,139,216.573748
419.653694,162,218.573535
270.811157,119,220.025718
282.635825,114,221.41784
372.172675,139,223.094506
712.454599,270,226.364762
534.836421,193,228.691575
654.92897,214,231.302449
407.445412,139,232.984384
641.884471,206,235.521972
1163.310155,500,241.582391
378.446934,133,243.197767
636.116474,184,245.426908
373.73704,134,247.053066
478.844289,159,248.967305
526.224564,198,251.404275
266.749119,110,252.734472
419.748465,160,254.671804
319.236575,125,256.187957
415.488525,159,258.103955
358.25778,130,259.680123
571.421249,179,261.858252
608.088279,191,264.163652
585.450995,209,266.70742
899.741952,268,269.976356
715.565738,220,272.646184
685.185412,214,275.225536
372.449429,130,276.808734
323.93066,117,278.238591
394.54225,154,280.123955
504.889016,179,282.311898
353.133238,129,283.880385
643.114119,191,286.244316
1476.118327,482,292.125777
374.640782,139,293.799413
338.993751,128,295.345272
666.58079,239,298.242751
290.51961,118,299.680378
577.160567,210,302.274029
494.283345,177,304.409123
511.588688,185,306.655409
292.951786,119,308.098384
280.53854,110,309.424709
602.130593,226,312.167215
867.546578,300,315.770505
678.673122,256,318.907674
536.825753,163,320.874917
536.345638,188,323.161162
381.237205,165,325.14691
598.48762,216,327.762427
647.713443,231,330.552831
431.14894,154,332.421355
338.668867,131,333.994722
287.859758,116,335.44823
325.005088,126,336.99327
835.827157,290,340.541539
533.162817,191,342.854903
335.308197,131,344.445387
456.238692,164,346.481564
1345.442437,405,351.387396
504.597397,174,353.489201
1024.156965,289,356.985732
312.22864,123,358.442918
408.266262,150,360.238666
563.009655,195,362.625203
812.827924,259,365.743368
740.788756,229,368.536179
517.489431,169,370.557062
766.05688,229,373.354943
378.324794,135,374.986143
1092.570379,346,379.196162
753.531643,238,382.066078
1288.495306,500,388.092618
284.470866,114,389.47306
472.91521,156,391.354092
280.965868,111,392.70212
649.630905,225,395.469786
704.463852,258,398.599713
1041.128925,330,402.599666
574.110048,205,405.07496
1117.891659,400,409.949299
526.373826,175,412.073956
570.020096,182,414.278292
851.752657,281,417.674529
610.310235,197,420.058223
859.279519,245,423.068018
943.284237,279,426.414663
347.595041,133,428.047536
452.180629,151,429.895925
396.779273,138,431.594046
277.696888,113,432.988359
1403.228931,500,439.067377
506.428021,187,441.34316
806.477026,266,444.57695
586.954409,195,446.937338
390.236014,139,448.619134
279.822511,112,450.019117
231.380633,101,451.231392
737.932706,246,454.22716
446.215809,154,456.077454
394.289243,138,457.767529
387.168124,138,459.434688
363.331525,133,461.035131
232.320866,101,462.267971
265.552254,111,463.614264
551.212616,191,465.962275
402.367868,145,467.728667
