#{"t_start": 1769448308.859275, "env_id": "CustomHopper-source-v0"}
r,l,t
8.111139,18,0.037675
4.911332,14,0.134238
7.046131,13,0.29637
4.557572,17,0.514158
8.349635,19,0.776088
53.215668,43,1.343982
13.705507,16,1.579015
7.201873,10,1.715871
9.121942,16,1.916557
23.830931,22,2.207894
7.101651,29,2.595565
167.871737,81,3.728386
41.410171,62,4.565313
14.220513,41,5.068963
30.677494,61,5.809538
102.783235,66,6.622772
290.237377,130,8.248212
231.623518,113,9.633206
204.704921,92,10.74873
157.153049,71,11.608036
208.20517,93,12.736121
136.436837,68,13.562619
246.05263,104,14.871009
203.402806,96,16.032255
240.481182,106,17.310641
140.267998,70,18.155804
215.024004,95,19.327223
250.696287,102,20.626832
184.336338,81,21.647455
275.887911,123,23.164413
259.163609,106,24.464551
301.202399,124,25.951841
381.856378,139,27.633002
182.826391,80,28.640288
344.766286,130,30.224845
482.355285,163,32.190268
335.111465,130,33.827363
321.978827,131,35.431707
276.145472,114,36.822616
249.753268,105,38.092074
329.323129,127,39.645409
40.023907,28,39.988513
347.731405,142,41.703085
342.581482,128,43.249851
331.721163,129,44.860073
134.89979,60,45.590627
363.637087,135,47.238315
328.093665,130,48.814033
355.304619,126,50.345913
178.534858,79,51.309485
374.882613,127,52.845398
271.644648,96,54.007279
196.840039,76,54.945531
385.360069,140,56.638688
196.480546,85,57.709161
328.594238,125,59.22984
257.306112,103,60.482867
194.128812,80,61.44467
443.698502,145,63.200302
318.337272,121,64.673725
342.543378,121,66.13157
400.794419,140,67.831478
342.493351,126,69.377957
269.275004,110,70.713786
254.457562,102,71.984547
294.305218,127,73.515186
311.935835,110,74.860067
278.970929,119,76.295857
341.532923,131,77.874311
587.079546,212,80.453142
353.447165,142,82.181815
411.024699,147,83.95529
528.857701,167,85.97999
332.342193,125,87.527955
263.31386,115,88.919352
515.792508,168,90.953727
296.300483,113,92.317575
355.143263,126,93.837235
318.697982,114,95.219246
282.426619,110,96.551586
347.480431,131,98.131806
358.41714,128,99.685877
462.108261,162,101.641839
261.641218,103,102.924246
389.396968,150,104.749173
336.173402,124,106.257545
553.815758,169,108.295501
453.20174,167,110.329399
293.999562,120,111.779075
466.321562,150,113.596602
562.497224,217,116.236729
433.365338,149,118.038356
659.824605,264,121.364342
607.51193,207,123.975341
617.516962,195,126.346251
414.593132,145,128.11088
642.2189,205,130.605067
389.3841,140,132.33848
370.490105,135,133.973124
360.266745,129,135.551509
563.680341,188,137.848113
318.678349,114,139.23072
351.080123,122,140.716733
326.811114,121,142.175966
351.2251,124,143.675724
483.594968,158,145.641229
317.63765,111,146.982348
306.267038,111,148.323812
439.352131,142,150.059863
388.551817,133,151.688057
373.122041,130,153.302985
398.616838,141,155.012684
802.902509,245,157.983615
545.331909,166,160.047659
476.707842,160,161.992094
269.392754,111,163.332923
309.154927,118,164.753989
329.643953,140,166.456052
377.185487,142,168.176443
247.916059,104,169.433423
241.994273,103,170.696887
383.14549,141,172.443973
466.509358,154,174.31418
616.547361,200,176.746373
576.486872,198,179.141489
340.49984,128,180.706252
378.3053,138,182.371025
633.11157,226,185.118219
391.323456,136,186.762349
360.399747,139,188.435961
399.519713,141,190.184071
472.787876,162,192.130871
262.57618,108,193.433474
432.934055,147,195.215514
474.765589,159,197.143499
448.245265,159,199.06142
527.380067,183,201.284964
660.308461,213,203.901532
824.845355,250,206.932687
438.541621,153,208.795043
233.015849,102,210.026784
514.947722,191,212.342959
499.81258,173,214.436284
379.425941,135,216.0863
395.849778,143,217.860487
367.598804,141,219.572225
298.644212,121,221.050048
475.151889,169,223.086811
370.073311,137,224.734873
327.469906,128,226.297101
514.329282,184,228.516419
649.632042,207,231.042209
538.938049,164,233.024567
340.579026,129,234.626508
485.204993,164,236.620308
281.514012,112,237.968771
260.978202,106,239.25785
582.158501,202,241.705914
518.77355,165,243.705116
642.91396,258,246.829678
823.465444,261,249.984973
458.512772,161,251.971988
843.697273,283,255.400059
312.484939,123,256.896793
364.274004,135,258.522323
284.240909,116,259.930094
570.993092,196,262.306688
579.382249,208,264.816192
739.418137,280,268.217347
647.89578,216,270.872256
875.687543,294,274.425164
505.43843,188,276.704919
246.583789,101,277.927508
249.861768,103,279.18386
405.091961,146,281.001021
1079.675108,345,285.181103
290.364673,110,286.569589
301.721785,118,287.991619
430.128419,159,289.932896
373.38294,136,291.607115
310.457618,119,293.044135
481.333189,162,294.991681
617.39441,197,297.387958
490.672474,175,299.504618
358.019697,130,301.136176
768.861417,235,303.97533
211.367697,111,305.316109
1066.712966,346,309.512312
395.90037,145,311.280872
264.764453,109,312.599117
839.301897,321,316.468386
903.975793,297,320.084512
982.269086,350,324.31437
652.067828,230,327.101772
349.752098,131,328.684195
654.276554,216,331.308591
1216.295327,500,337.434285
382.597549,139,339.127435
605.032145,203,341.593036
562.852065,222,344.282563
338.791063,130,345.852403
965.192691,287,349.385999
886.821689,268,352.630073
256.50264,108,353.945865
389.996471,141,355.634175
694.624017,221,358.280273
866.593315,253,361.313212
324.77704,125,362.862295
393.57386,140,364.534581
909.501095,275,367.8934
278.742525,110,369.212356
905.419775,258,372.342406
317.24862,121,373.802071
479.916352,150,375.606513
326.105331,126,377.172516
495.414525,178,379.319857
750.392158,228,382.070291
338.560989,127,383.602753
308.207785,121,385.066446
1562.427361,488,390.949088
412.699797,144,392.694458
541.577699,184,394.96302
330.679234,121,396.422904
907.162536,261,399.591803
285.427707,115,400.976698
293.275724,112,402.338813
338.557536,122,403.824034
1131.625222,384,408.464678
638.341964,211,411.052403
351.284012,126,412.59715
1307.473115,400,417.426527
680.080237,204,419.888754
816.256694,245,422.890734
1024.63148,309,426.61824
378.001963,140,428.344241
818.850814,280,431.774882
911.211451,275,435.102528
478.848531,160,437.087501
268.170261,108,438.394581
292.495145,118,439.822151
337.665938,128,441.385416
912.153696,304,445.072101
1521.740327,491,451.055265
287.200854,122,452.54347
1485.635262,500,458.604838
992.752553,306,462.308229
576.857185,192,464.631802
432.80309,142,466.387359
583.600982,192,468.71835
412.759364,146,470.494183
413.69081,145,472.259451
279.998544,115,473.654236
856.928922,271,476.910926
399.782787,147,478.743787
506.265273,171,480.798919
597.370127,181,483.009357
856.372113,250,486.01964
269.153438,107,487.321973
510.655142,164,489.325036
398.614636,143,491.047731
570.142698,201,493.521475
265.447336,110,494.845263
900.220284,267,498.070446
1312.424335,500,504.089881
405.860137,145,505.836318
1106.817186,344,510.032402
553.5838,205,512.516864
338.343348,128,514.059202
271.958214,113,515.422247
1098.063731,317,519.260845
1579.354379,500,525.313583
1528.384291,500,531.335867
1319.851693,441,536.662002
393.810303,140,538.366831
462.866217,166,540.371455
686.572052,241,543.351255
790.762345,225,546.066163
1430.366737,500,552.105032
358.75308,133,553.723123
1140.912626,327,557.6635
1456.181096,500,563.744722
461.014721,159,565.66401
1425.523086,431,570.869143
1536.723784,467,576.999116
387.499561,139,579.104847
325.194365,129,580.796939
357.061812,133,582.457952
775.558236,243,585.37616
820.726861,254,588.321725
