#{"t_start": 1769532944.288949, "env_id": "CustomHopper-source-v0"}
r,l,t
6.005134,13,0.050777
14.792703,22,0.184696
38.309006,64,0.968935
10.626936,16,1.162192
43.896349,47,1.818916
5.805499,14,1.99253
50.613685,56,2.711629
21.215509,31,3.107504
11.982752,16,3.320899
120.734162,90,4.474056
47.649999,43,5.031362
99.404562,65,5.84573
105.491564,69,6.706478
42.050347,43,7.239006
41.124403,42,7.791897
86.821312,57,8.522131
80.969173,50,9.229281
41.246315,42,9.750822
41.501123,43,10.286083
42.955604,43,10.833487
40.614973,43,11.46241
46.08758,44,12.039959
42.86541,43,12.622761
138.510386,86,13.79528
90.207692,62,14.534301
90.598534,51,15.120626
43.992764,44,15.669015
108.723307,58,16.48965
158.938169,108,17.774801
117.505212,58,18.433415
131.664358,70,19.23641
160.816524,87,20.372289
47.310205,46,20.98212
42.673368,43,21.550159
45.21922,44,22.301402
40.151713,43,22.904789
47.455064,47,23.507075
43.091169,44,24.04083
227.755443,116,25.443101
42.102984,43,26.028709
46.18819,45,26.576864
170.55869,87,27.630096
47.830989,45,28.172812
43.677777,43,28.689153
160.596699,94,29.94689
43.72981,44,30.515463
42.470803,43,31.095085
197.833597,108,32.581823
195.677531,99,33.884012
202.072372,95,35.077937
42.77568,43,35.594422
47.266001,43,36.12507
197.486665,101,37.424448
157.531161,73,38.302732
45.568106,43,38.819802
203.082589,101,40.032222
48.064564,44,40.554369
181.46958,87,41.593042
46.395423,44,42.189072
166.41436,74,43.073311
45.723698,42,43.576743
43.168648,44,44.104688
192.55651,94,45.225119
54.945761,51,45.835129
156.605024,65,46.619298
173.711785,89,47.71439
192.884014,80,48.672416
202.797415,108,49.967814
52.091428,51,50.580504
38.110653,43,51.089501
41.462452,42,51.592838
41.06812,42,52.109888
43.662704,42,52.614666
43.896225,44,53.142533
45.044532,45,53.689461
191.166759,114,55.068317
38.927179,41,55.55904
44.724144,46,56.115363
214.470941,104,57.376649
44.566775,43,57.895582
45.176962,44,58.424569
159.198797,139,60.090763
56.331751,52,60.719113
43.593762,42,61.226204
41.733528,43,61.735895
221.904453,118,63.214798
45.26914,43,63.739232
166.076995,90,64.815281
47.823202,45,65.363865
40.754847,43,65.879786
66.465803,51,66.488095
42.130498,42,66.9994
47.16788,47,67.570809
219.602795,127,69.091904
39.6472,42,69.59925
39.880383,43,70.114882
40.591805,42,70.617541
218.192959,108,71.918324
43.720221,43,72.445332
41.474112,42,72.948125
43.395758,43,73.463384
43.469219,44,73.992893
42.436596,42,74.492912
39.91319,42,75.00041
39.306928,42,75.498996
42.21218,42,76.006292
50.211934,45,76.548566
42.335608,43,77.065319
148.893199,95,78.262134
342.417775,152,80.090444
211.450883,117,81.488868
46.480927,43,82.003944
40.095648,42,82.522596
46.742148,43,83.042803
44.595594,44,83.575172
221.449381,118,84.999623
43.397757,42,85.603623
293.949781,137,87.25198
46.994191,45,87.795721
43.99061,43,88.307945
140.441752,85,89.323972
43.625234,45,89.913785
47.056912,45,90.452586
44.876827,44,90.975974
51.550269,48,91.552294
49.373529,44,92.076629
44.377816,45,92.634219
207.453204,100,93.845168
44.468081,43,94.44559
150.032966,93,95.564039
51.542062,53,96.251193
552.674295,500,102.362228
68.526152,58,103.037245
544.98157,500,108.746383
42.150213,42,109.216473
39.379721,42,109.688752
41.571359,42,110.165664
42.031442,42,110.63562
45.649971,45,111.145868
585.447792,500,116.793443
314.864273,188,118.954278
245.503225,143,120.635162
39.415748,42,121.109715
39.34832,44,121.606008
271.223347,144,123.228295
42.324713,44,123.728381
553.810837,500,129.387951
56.655619,89,130.393138
