#{"t_start": 1767874697.8317726, "env_id": "CustomHopper-source-v0"}
r,l,t
8.03561,18,0.643052
5.739097,14,0.757842
10.867798,22,1.511828
8.292398,11,1.754152
76.727183,54,2.827396
9.222288,15,3.265665
6.559922,11,3.502442
7.342222,10,3.668416
9.399364,19,4.056613
23.640599,36,4.707164
18.28398,30,5.24965
9.961395,34,5.957236
27.270695,25,6.372502
11.170474,13,6.61385
13.539652,21,7.045295
14.722608,25,7.499191
3.386579,9,7.68022
17.653519,42,8.424043
28.430606,28,8.941355
5.046655,33,9.534784
54.062947,58,10.546248
79.587764,44,11.393194
109.638496,57,12.582138
24.064287,50,13.491315
133.867712,87,15.107807
