#{"t_start": 1767874698.011339, "env_id": "CustomHopper-source-v0"}
r,l,t
26.602919,32,0.578091
16.221711,28,1.43223
6.228241,12,1.721998
15.161816,22,2.153079
26.740642,37,3.0161
8.959961,14,3.322877
2.89837,32,3.923469
64.920797,40,4.656195
16.651414,27,5.142188
4.61143,9,5.326528
102.617565,72,6.705869
26.878634,23,7.145588
10.774533,15,7.418788
5.974435,11,7.625034
11.725138,42,8.364229
6.583513,11,8.564216
11.497349,18,8.915376
12.608235,42,9.630215
17.805104,35,10.25807
129.820975,86,12.018396
64.543518,41,12.737009
19.262314,41,13.489635
103.248797,53,14.480678
