#{"t_start": 1767722872.3049927, "env_id": "CustomCartPole-v0"}
r,l,t
15.0,15,0.04467
18.0,18,0.060446
17.0,17,0.069465
24.0,24,0.087382
8.0,8,0.095716
9.0,9,0.10294
19.0,19,0.117498
33.0,33,0.137293
20.0,20,0.151534
49.0,49,0.185398
12.0,12,0.195611
8.0,8,0.202036
17.0,17,0.217857
50.0,50,0.252492
13.0,13,0.261256
27.0,27,0.278899
11.0,11,0.285001
26.0,26,0.301611
34.0,34,0.320902
20.0,20,0.332875
15.0,15,0.342132
23.0,23,0.355483
34.0,34,0.377263
37.0,37,0.403125
16.0,16,0.412302
44.0,44,0.440194
10.0,10,0.445248
34.0,34,0.465763
25.0,25,0.481462
25.0,25,0.496817
24.0,24,0.513572
25.0,25,0.533392
15.0,15,0.546037
46.0,46,0.581984
28.0,28,0.609586
13.0,13,0.617036
42.0,42,0.644902
36.0,36,0.668589
15.0,15,0.677809
15.0,15,0.687147
18.0,18,0.697982
63.0,63,0.735472
18.0,18,0.750333
7.0,7,0.75627
15.0,15,0.769059
9.0,9,0.777668
18.0,18,0.788829
23.0,23,0.806224
47.0,47,0.840716
18.0,18,0.855593
14.0,14,0.868344
11.0,11,0.878968
28.0,28,0.902284
45.0,45,0.936967
42.0,42,0.976691
15.0,15,0.987747
25.0,25,1.006062
14.0,14,1.018065
23.0,23,1.037941
18.0,18,1.051848
15.0,15,1.065704
13.0,13,1.077073
6.0,6,1.083795
55.0,55,1.128493
45.0,45,1.161582
12.0,12,1.167836
23.0,23,1.181445
29.0,29,1.198804
19.0,19,1.213937
49.0,49,1.252434
38.0,38,1.281009
19.0,19,1.295056
13.0,13,1.302718
20.0,20,1.316371
43.0,43,1.344113
56.0,56,1.37778
29.0,29,1.397148
33.0,33,1.416484
10.0,10,1.423503
25.0,25,1.436213
30.0,30,1.461489
15.0,15,1.471767
19.0,19,1.484335
23.0,23,6.230042
23.0,23,6.245265
9.0,9,6.249786
38.0,38,6.271986
48.0,48,6.300935
15.0,15,6.3104
20.0,20,6.323084
15.0,15,6.331913
18.0,18,6.342411
46.0,46,6.374494
20.0,20,6.387595
18.0,18,6.399222
36.0,36,6.422252
25.0,25,6.43904
16.0,16,6.449292
17.0,17,6.461501
126.0,126,6.541235
30.0,30,6.560491
15.0,15,6.573087
85.0,85,6.625956
27.0,27,6.64256
64.0,64,6.681334
55.0,55,6.719547
39.0,39,6.742084
68.0,68,6.786924
46.0,46,6.816715
20.0,20,6.829578
32.0,32,6.8476
68.0,68,6.888838
24.0,24,6.904338
45.0,45,6.934164
52.0,52,6.964763
21.0,21,6.980175
26.0,26,6.998426
19.0,19,7.013369
19.0,19,7.026272
10.0,10,7.031027
24.0,24,7.046814
38.0,38,7.069921
10.0,10,7.075957
14.0,14,7.084389
41.0,41,7.114293
58.0,58,7.157021
25.0,25,7.172183
32.0,32,7.192828
22.0,22,7.210139
17.0,17,7.224045
12.0,12,7.232518
26.0,26,7.249511
13.0,13,7.25979
13.0,13,7.266486
15.0,15,7.277442
26.0,26,7.296268
37.0,37,7.319692
7.0,7,7.325545
20.0,20,7.34164
9.0,9,7.346933
14.0,14,7.355849
11.0,11,7.362253
59.0,59,7.399777
42.0,42,7.430645
65.0,65,7.477734
20.0,20,7.490685
9.0,9,7.497243
26.0,26,7.514288
51.0,51,7.547261
90.0,90,12.377519
113.0,113,12.469718
32.0,32,12.495221
16.0,16,12.509562
86.0,86,12.572986
34.0,34,12.596214
108.0,108,12.680468
33.0,33,12.70831
13.0,13,12.719629
27.0,27,12.740074
38.0,38,12.765791
24.0,24,12.787838
17.0,17,12.802622
73.0,73,12.858856
17.0,17,12.87122
39.0,39,12.906652
76.0,76,12.963692
48.0,48,12.999954
45.0,45,13.041787
140.0,140,13.146694
18.0,18,13.160043
39.0,39,13.185825
37.0,37,13.209883
54.0,54,13.246531
146.0,146,13.359922
30.0,30,13.384861
63.0,63,13.435296
37.0,37,13.471161
15.0,15,13.480982
125.0,125,13.59943
136.0,136,13.715052
25.0,25,13.735503
14.0,14,13.746268
26.0,26,13.765325
14.0,14,13.776773
96.0,96,13.854338
16.0,16,13.868042
111.0,111,13.940665
34.0,34,18.854943
101.0,101,18.92606
64.0,64,18.976226
45.0,45,19.013101
143.0,143,19.174514
147.0,147,19.302374
221.0,221,19.478118
202.0,202,19.645491
165.0,165,19.770526
134.0,134,19.882027
176.0,176,20.007544
107.0,107,20.080962
34.0,34,20.114625
116.0,116,20.214699
121.0,121,20.306939
20.0,20,20.325148
169.0,169,20.456826
42.0,42,20.489865
298.0,298,26.13638
133.0,133,26.239667
193.0,193,26.365302
191.0,191,26.487648
170.0,170,26.60282
370.0,370,26.831973
315.0,315,27.026716
231.0,231,27.172811
370.0,370,32.140586
319.0,319,32.532979
283.0,283,32.770058
247.0,247,32.98901
230.0,230,33.177446
209.0,209,33.326533
218.0,218,33.484085
173.0,173,33.6271
360.0,360,39.903824
291.0,291,40.152562
330.0,330,40.472011
320.0,320,40.745637
323.0,323,41.024231
357.0,357,41.398325
