#{"t_start": 1767722872.2991474, "env_id": "CustomCartPole-v0"}
r,l,t
17.0,17,0.05191
12.0,12,0.063621
51.0,51,0.099126
14.0,14,0.111182
26.0,26,0.129469
17.0,17,0.139758
64.0,64,0.182
22.0,22,0.200479
19.0,19,0.217824
32.0,32,0.241608
53.0,53,0.275736
33.0,33,0.298813
48.0,48,0.325231
11.0,11,0.332277
24.0,24,0.34686
62.0,62,0.385718
12.0,12,0.393752
11.0,11,0.401852
16.0,16,0.412621
22.0,22,0.424034
29.0,29,0.442992
27.0,27,0.458697
13.0,13,0.466483
8.0,8,0.471513
34.0,34,0.492759
9.0,9,0.498293
11.0,11,0.505102
8.0,8,0.510346
38.0,38,0.540125
21.0,21,0.557474
21.0,21,0.573072
58.0,58,0.622177
26.0,26,0.637734
12.0,12,0.647618
20.0,20,0.662074
19.0,19,0.673086
25.0,25,0.68856
24.0,24,0.703116
29.0,29,0.719991
17.0,17,0.730583
17.0,17,0.740692
26.0,26,0.761955
64.0,64,0.811315
7.0,7,0.817688
25.0,25,0.835482
24.0,24,0.853312
18.0,18,0.869126
12.0,12,0.88027
11.0,11,0.889961
13.0,13,0.901727
32.0,32,0.925215
66.0,66,0.984161
28.0,28,1.004084
30.0,30,1.028652
18.0,18,1.044716
16.0,16,1.056755
16.0,16,1.071361
28.0,28,1.096016
22.0,22,1.110661
7.0,7,1.120757
19.0,19,1.13555
37.0,37,1.161855
23.0,23,1.177829
29.0,29,1.19584
15.0,15,1.203118
23.0,23,1.22067
11.0,11,1.230796
23.0,23,1.249306
18.0,18,1.262141
41.0,41,1.291132
33.0,33,1.313573
25.0,25,1.330064
19.0,19,1.341801
22.0,22,1.355328
57.0,57,1.389626
22.0,22,1.405947
16.0,16,1.41644
12.0,12,1.422212
39.0,39,1.447943
38.0,38,1.475299
13.0,13,1.484838
89.0,89,6.270143
26.0,26,6.285555
25.0,25,6.300504
10.0,10,6.306661
19.0,19,6.318809
59.0,59,6.354053
22.0,22,6.369673
17.0,17,6.382211
41.0,41,6.409276
22.0,22,6.421792
59.0,59,6.462281
38.0,38,6.488837
37.0,37,6.510842
23.0,23,6.525003
15.0,15,6.533762
22.0,22,6.548324
9.0,9,6.553469
87.0,87,6.612271
42.0,42,6.638205
45.0,45,6.666328
88.0,88,6.723171
24.0,24,6.73755
43.0,43,6.764703
44.0,44,6.793513
28.0,28,6.814398
27.0,27,6.830412
82.0,82,6.879063
18.0,18,6.887635
17.0,17,6.900422
27.0,27,6.915867
16.0,16,6.927819
25.0,25,6.943726
19.0,19,6.954858
28.0,28,6.971283
38.0,38,6.998276
21.0,21,7.014068
9.0,9,7.02161
47.0,47,7.050214
30.0,30,7.069156
20.0,20,7.081101
89.0,89,7.147256
22.0,22,7.160357
41.0,41,7.185398
66.0,66,7.236241
21.0,21,7.25076
10.0,10,7.255932
26.0,26,7.272909
44.0,44,7.304643
47.0,47,7.33685
11.0,11,7.346194
22.0,22,7.359833
10.0,10,7.365636
12.0,12,7.372707
33.0,33,7.396723
20.0,20,7.40753
18.0,18,7.420743
28.0,28,7.442046
12.0,12,7.449458
28.0,28,7.46824
18.0,18,7.482587
27.0,27,7.500307
37.0,37,7.525512
11.0,11,7.533215
20.0,20,7.546222
29.0,29,7.564625
16.0,16,12.334338
87.0,87,12.405305
79.0,79,12.472306
139.0,139,12.579723
67.0,67,12.629427
23.0,23,12.648827
29.0,29,12.670129
70.0,70,12.727242
37.0,37,12.754385
179.0,179,12.896965
23.0,23,12.916907
14.0,14,12.928343
21.0,21,12.942994
33.0,33,12.967744
90.0,90,13.042392
181.0,181,13.178108
97.0,97,13.244018
41.0,41,13.272529
27.0,27,13.289634
104.0,104,13.376926
63.0,63,13.426425
10.0,10,13.433388
23.0,23,13.454641
41.0,41,13.489889
140.0,140,13.619002
15.0,15,13.63506
74.0,74,13.697531
164.0,164,13.828673
21.0,21,13.844402
110.0,110,13.923185
15.0,15,13.931885
196.0,196,18.963737
53.0,53,19.004832
205.0,205,19.223057
15.0,15,19.235677
116.0,116,19.327978
139.0,139,19.441061
118.0,118,19.533508
200.0,200,19.698843
48.0,48,19.731388
353.0,353,20.004329
68.0,68,20.054352
50.0,50,20.087765
79.0,79,20.159896
103.0,103,20.245498
141.0,141,20.35936
136.0,136,20.462489
184.0,184,26.026023
318.0,318,26.263365
298.0,298,26.459394
171.0,171,26.568865
146.0,146,26.665931
284.0,284,26.840203
240.0,240,26.985452
214.0,214,27.120353
326.0,326,32.014501
133.0,133,32.147595
344.0,344,32.558703
263.0,263,32.780474
250.0,250,33.002819
117.0,117,33.103945
500.0,500,33.462405
500.0,500,39.859827
500.0,500,40.291173
420.0,420,40.683244
338.0,338,40.961094
310.0,310,41.282736
327.0,327,41.615789
