#{"t_start": 1767723413.4771118, "env_id": "CustomCartPole-v0"}
r,l,t
38.0,38,0.051791
26.0,26,0.067236
13.0,13,0.076617
30.0,30,0.095781
18.0,18,0.106258
19.0,19,0.188581
34.0,34,0.239192
23.0,23,0.254349
15.0,15,0.262521
13.0,13,0.270749
34.0,34,0.291285
14.0,14,0.301381
22.0,22,0.314566
22.0,22,0.32902
25.0,25,0.344655
17.0,17,0.354941
10.0,10,0.360811
14.0,14,0.370752
31.0,31,0.389036
13.0,13,0.395613
33.0,33,0.415753
50.0,50,0.445827
16.0,16,0.457454
23.0,23,0.472925
17.0,17,0.48504
26.0,26,0.501456
21.0,21,0.519539
11.0,11,0.52612
21.0,21,0.541816
27.0,27,0.562244
18.0,18,0.573182
14.0,14,0.584423
29.0,29,0.608742
16.0,16,0.622808
11.0,11,0.633371
14.0,14,0.644355
16.0,16,0.661906
12.0,12,0.671606
11.0,11,0.678933
35.0,35,0.701257
16.0,16,0.710389
15.0,15,0.723695
23.0,23,0.74542
30.0,30,0.766602
20.0,20,0.786441
10.0,10,0.792949
16.0,16,0.804957
31.0,31,0.830735
45.0,45,0.862463
18.0,18,0.877088
14.0,14,0.891227
22.0,22,0.911324
80.0,80,0.970477
36.0,36,0.99545
13.0,13,1.003674
14.0,14,1.010778
47.0,47,1.03791
14.0,14,1.044981
18.0,18,1.054715
48.0,48,1.09442
20.0,20,1.109421
31.0,31,1.126945
9.0,9,1.134387
12.0,12,1.145633
12.0,12,1.158566
15.0,15,1.17219
44.0,44,1.212614
17.0,17,1.227829
18.0,18,1.246072
59.0,59,1.297433
17.0,17,1.313323
23.0,23,1.335791
12.0,12,1.343135
16.0,16,1.356799
9.0,9,1.369394
10.0,10,1.377106
14.0,14,1.387517
21.0,21,1.405478
12.0,12,1.415292
9.0,9,1.423369
19.0,19,1.441304
22.0,22,1.462728
19.0,19,1.482598
27.0,27,1.530308
17.0,17,1.596044
16.0,16,1.627986
26.0,26,1.704815
13.0,13,1.721866
10.0,10,1.729982
16.0,16,1.743237
17.0,17,1.758491
14.0,14,1.776754
15.0,15,1.813607
18.0,18,1.840554
13.0,13,1.854981
20.0,20,1.875259
19.0,19,6.227176
57.0,57,6.273055
28.0,28,6.299453
15.0,15,6.311233
31.0,31,6.338041
18.0,18,6.351608
51.0,51,6.386263
21.0,21,6.3995
9.0,9,6.405075
32.0,32,6.426257
43.0,43,6.454153
23.0,23,6.468773
36.0,36,6.492225
64.0,64,6.548019
12.0,12,6.562101
49.0,49,6.59541
14.0,14,6.604069
29.0,29,6.621287
54.0,54,6.656752
16.0,16,6.667753
25.0,25,6.68664
13.0,13,6.69476
34.0,34,6.714906
39.0,39,6.738683
14.0,14,6.746941
48.0,48,6.778326
21.0,21,6.794164
35.0,35,6.818207
17.0,17,6.828685
17.0,17,6.841705
15.0,15,6.853314
110.0,110,6.929477
11.0,11,6.940728
22.0,22,6.958367
48.0,48,7.00501
43.0,43,7.03504
14.0,14,7.043795
19.0,19,7.057669
18.0,18,7.070338
30.0,30,7.091008
17.0,17,7.102356
33.0,33,7.123645
49.0,49,7.153381
82.0,82,7.208599
18.0,18,7.22108
23.0,23,7.23562
37.0,37,7.259144
35.0,35,7.281796
22.0,22,7.297806
42.0,42,7.328765
21.0,21,7.344634
36.0,36,7.374222
18.0,18,7.388282
26.0,26,7.406425
12.0,12,7.414115
38.0,38,7.440848
30.0,30,7.460368
47.0,47,7.490401
37.0,37,7.513794
79.0,79,7.567575
23.0,23,7.579925
30.0,30,7.597
21.0,21,7.609581
52.0,52,7.639873
35.0,35,11.627831
83.0,83,11.680682
109.0,109,11.750246
29.0,29,11.770485
91.0,91,11.834614
35.0,35,11.857269
93.0,93,11.925155
50.0,50,11.961183
59.0,59,12.009343
20.0,20,12.02354
79.0,79,12.076225
28.0,28,12.09402
85.0,85,12.149927
63.0,63,12.191509
87.0,87,12.252363
184.0,184,12.374226
20.0,20,12.387495
80.0,80,12.438034
37.0,37,12.463095
28.0,28,12.487131
44.0,44,12.515631
17.0,17,12.525436
20.0,20,12.539145
64.0,64,12.585136
29.0,29,12.606646
113.0,113,12.681121
36.0,36,12.703475
20.0,20,12.717927
34.0,34,12.738957
71.0,71,12.792311
36.0,36,12.814396
92.0,92,12.866873
154.0,154,12.967447
11.0,11,12.972971
74.0,74,17.045689
123.0,123,17.120591
50.0,50,17.15339
116.0,116,17.226149
261.0,261,17.399756
104.0,104,17.462408
189.0,189,17.572681
156.0,156,17.66955
57.0,57,17.702491
34.0,34,17.721887
219.0,219,17.862642
69.0,69,17.911491
44.0,44,17.939394
186.0,186,18.060834
242.0,242,18.202869
253.0,253,22.5067
433.0,433,22.78028
170.0,170,22.886249
192.0,192,23.000284
216.0,216,23.130674
171.0,171,23.228606
234.0,234,23.368755
272.0,272,23.544459
118.0,118,23.620792
389.0,389,27.865014
432.0,432,28.162488
248.0,248,28.321889
283.0,283,28.487963
242.0,242,28.634123
335.0,335,28.843263
281.0,281,32.935789
378.0,378,33.15185
500.0,500,33.481445
366.0,366,33.759137
500.0,500,34.105439
