#{"t_start": 1767631407.558199, "env_id": "CustomHopper-source-v0"}
r,l,t
27.618692,33,0.857415
24.293158,29,1.063143
16.734216,37,1.317477
16.113617,30,1.522641
14.679962,18,1.654297
2.405834,28,1.869376
68.011698,39,2.149138
16.298813,29,2.367139
5.478756,9,2.446222
77.880263,50,2.944518
18.697932,18,3.068069
21.209744,26,3.243449
6.98744,15,3.349264
4.572685,12,3.433618
11.333488,39,3.7542
7.744286,16,3.896452
12.521341,18,4.020457
9.781374,39,4.282152
210.694923,163,5.402225
42.976958,46,5.716463
84.13483,49,6.087489
112.882106,58,6.508011
237.51376,104,7.270117
121.564693,95,7.950505
145.152243,73,8.481543
133.463805,66,8.949225
255.261215,124,9.794997
339.670434,137,10.719783
295.909035,125,11.555823
310.822004,129,12.446435
328.705304,139,13.379573
297.951092,115,14.164645
296.553196,117,14.949272
308.418211,128,15.817098
285.60705,109,16.561392
300.83725,117,17.360955
318.822313,122,18.164869
304.037565,118,18.957907
343.906925,122,19.763067
323.478075,117,20.535306
350.916086,131,21.410171
346.950651,132,22.277793
349.640263,129,23.136419
362.645876,130,23.995655
329.05231,123,24.808737
352.796065,131,25.681884
363.342049,132,26.549251
354.132083,132,27.429678
384.213183,136,28.329851
349.185712,133,29.214698
380.183669,137,30.142
375.390874,129,30.996033
351.707732,126,31.836942
364.953389,131,32.703921
360.44352,126,33.548098
370.195753,129,34.402425
357.601396,124,35.219688
381.308592,133,36.109303
361.32835,126,36.943663
375.154301,134,37.834636
339.802317,120,38.638719
365.135446,127,39.478108
388.722805,133,40.362594
353.93418,133,41.238663
387.783301,138,42.16053
365.960782,125,42.984138
359.197263,122,44.019767
366.00547,135,45.00642
349.863829,121,45.876502
371.008974,128,46.734858
392.819508,134,47.624789
457.976992,165,48.731076
353.110819,128,49.617037
383.80333,131,50.593503
396.219464,136,51.496284
406.197458,138,52.411151
384.681908,137,53.32509
375.402375,130,54.187202
349.797899,119,55.051317
406.988602,136,56.004331
364.258817,123,56.816372
376.567115,131,57.690093
407.494455,136,58.58591
403.99391,136,59.503443
389.385536,133,60.461504
395.00348,135,61.395841
402.688605,138,62.341696
390.842408,135,63.298412
397.377481,138,64.21557
375.407581,133,65.101714
398.809714,135,66.049688
376.149127,132,67.025294
412.514314,142,67.985819
387.665291,135,68.891409
311.813896,112,69.660875
447.024748,144,70.613331
179.419464,83,71.165432
308.954449,114,71.945371
380.289716,132,72.818093
392.258276,135,73.714242
396.929335,140,74.669662
343.073319,118,75.452348
362.988354,126,76.322778
327.116928,139,77.250266
394.825929,133,78.139181
391.062504,130,79.000774
441.063798,148,80.00306
389.227251,134,80.918127
460.56585,148,82.030204
379.254022,129,82.898485
24.890597,24,83.057026
416.216253,136,84.110545
388.948746,131,84.997952
31.545528,27,85.176393
22.755366,22,85.325618
431.108716,139,86.306202
439.363129,143,87.353117
364.057327,125,88.190556
363.971365,121,89.020425
430.115762,140,89.960339
372.459294,126,90.830952
370.98753,125,91.768842
387.18736,130,92.696473
371.062137,125,93.546281
390.314089,128,94.401733
376.924063,130,95.269304
532.255516,161,96.34
362.652631,124,97.174006
347.158504,120,97.966987
463.879705,148,98.950486
415.574206,135,99.853037
368.93752,125,100.776567
464.330169,147,101.834566
495.077375,152,102.844129
374.161564,127,103.703186
377.882726,127,104.561984
359.129091,123,105.387142
368.493421,125,106.222919
439.731832,138,107.136385
492.281775,152,108.153617
343.967211,119,108.938839
398.984722,132,109.825249
375.057802,130,110.718236
364.333987,126,111.552457
374.537774,128,112.416732
364.960254,126,113.253564
384.717637,132,114.140183
374.95367,128,114.988555
351.724165,124,115.809117
390.99136,134,116.703313
438.109794,143,117.650242
437.951347,144,118.612635
425.55287,140,119.551483
479.727947,151,120.695824
508.497974,156,121.746948
510.860399,153,122.827219
559.550923,186,124.23975
438.947108,141,125.269736
467.089511,145,126.584941
584.79528,188,128.026508
521.376979,155,129.0799
522.463388,157,130.115006
573.173923,193,131.763869
589.331594,174,133.052979
595.632451,191,134.719303
596.691535,188,136.129397
593.277014,196,137.365168
605.969051,193,138.600333
637.987924,203,139.900964
649.341845,214,141.370793
655.811601,199,142.717217
697.958411,210,144.192351
510.990802,166,145.256738
671.066379,205,146.568198
693.898791,224,148.030709
710.329448,217,149.417475
701.650178,214,150.862521
841.72685,270,152.587882
686.867029,210,153.919164
664.336264,204,155.227703
544.820777,168,156.273533
472.788744,154,157.250146
1477.243354,488,160.37227
545.159778,174,161.505707
800.985772,297,163.419421
619.1366,256,165.106876
960.713764,327,167.151654
748.911229,234,168.597284
673.186851,209,169.895381
617.872611,241,171.381032
1156.45002,435,174.073888
740.9162,267,175.72743
1206.406648,389,178.269136
1035.385,331,180.333174
731.923668,259,181.928443
720.356688,244,183.501269
1164.136167,366,185.78379
1283.503761,385,188.156277
1124.694094,347,190.309116
830.022178,246,191.853733
892.431956,256,193.456022
1259.282896,379,195.85761
980.180432,292,197.66395
991.593729,298,199.498632
1286.759801,372,201.789469
928.584371,261,203.406542
1138.855533,338,205.537695
756.340317,257,207.146785
1021.259388,282,208.914109
1350.106374,413,211.453836
1485.717736,500,214.581657
1630.533589,500,217.825837
1649.528937,500,220.911502
988.923578,302,222.767102
710.819006,228,224.15364
